sample_id,ml_label,pc1,pc2
vfm_183154,iberian_vessel_fragment,-0.42422588148878626,-1.0696547211415735
vfm_023782,iberian_vessel_fragment,3.1389603613804824,1.889015906130837
vfm_100525,iberian_vessel_fragment,0.3666502450554932,1.990168455786887
vfm_182942,iberian_vessel_fragment,-1.937841638454184,-1.5906064344512614
vfm_164858,iberian_vessel_fragment,0.12921386882301816,1.8769841597832417
vfm_150050,iberian_vessel_fragment,-4.157755509531324,-2.5674788976330922
vfm_191397,iberian_vessel_fragment,0.1430562047949948,-1.9391420098733028
vfm_164533,iberian_vessel_fragment,0.8334445048133508,3.8373498074322843
vfm_150355,iberian_vessel_fragment,-2.5253447330912895,-0.9358842429687732
vfm_125246,iberian_vessel_fragment,0.6547918912378441,-0.9100159863314642
vfm_179528,iberian_vessel_fragment,-0.10908952873360722,0.4697406445116424
vfm_126270,iberian_vessel_fragment,3.8175268734714205,1.2822223094377367
vfm_027909,iberian_vessel_fragment,-7.213616904987252,0.36580143694985484
vfm_139362,iberian_vessel_fragment,0.9425436732936869,-0.005991800903438348
vfm_141876,iberian_vessel_fragment,0.11703170696852035,0.12399829188432007
vfm_087131,iberian_vessel_fragment,1.3592624710258003,-2.347924367360079
vfm_122642,iberian_vessel_fragment,-1.9234003250215679,-0.25269766865349486
vfm_012329,iberian_vessel_fragment,1.0041714903634031,-2.8677558138636967
vfm_051516,iberian_vessel_fragment,-0.2565561540807078,-0.3609389277177569
vfm_191282,iberian_vessel_fragment,-3.8154752158977394,-0.11035603480078446
vfm_119116,iberian_vessel_fragment,-1.1572925329937243,-0.13906722465885868
vfm_118250,iberian_vessel_fragment,-0.9029588832219638,-0.11372083764610649
vfm_188287,iberian_vessel_fragment,-0.28106181048572515,-0.8978353274450613
vfm_149157,iberian_vessel_fragment,1.7080077939852913,1.0562640645618087
vfm_167009,iberian_vessel_fragment,0.4293697544897634,-2.229865468464707
vfm_147857,iberian_vessel_fragment,-1.4276577870745988,-3.254735090055246
vfm_072349,iberian_vessel_fragment,2.737286995331364,-0.1824360455321315
vfm_182020,iberian_vessel_fragment,0.7906394184683461,-0.05287388671874482
vfm_086588,iberian_vessel_fragment,-1.977912226008954,2.7420107965091813
vfm_019533,iberian_vessel_fragment,0.2305472273296101,-1.8954383534931583
vfm_174841,iberian_vessel_fragment,1.018824784866403,0.438520981921948
vfm_180261,iberian_vessel_fragment,-6.017536068544417,0.8498578472606235
vfm_073965,iberian_vessel_fragment,3.0891853463157632,1.8907153824711043
vfm_169693,iberian_vessel_fragment,-0.5261172119414438,1.442753981804001
vfm_173670,iberian_vessel_fragment,4.338120334561417,-0.5704356552664293
vfm_039876,iberian_vessel_fragment,-1.6041152950764261,1.3144980978029948
vfm_186676,iberian_vessel_fragment,-2.2218289301622907,-2.1325505562835643
vfm_193283,iberian_vessel_fragment,-1.5402312882954632,-1.1501945003664946
vfm_163035,iberian_vessel_fragment,-0.851646911139643,0.9043676998091033
vfm_077115,iberian_vessel_fragment,3.5605681069780606,-0.7319992152969625
vfm_074371,iberian_vessel_fragment,-0.5496318498471687,-1.5305454277873691
vfm_048756,iberian_vessel_fragment,-1.2524788248924692,-0.20601855681805617
vfm_046234,iberian_vessel_fragment,-2.1909105621265144,2.000827110190245
vfm_096891,iberian_vessel_fragment,-1.2693992785658985,0.0778616366424554
vfm_085981,iberian_vessel_fragment,3.8696642677899726,0.38757951108698746
vfm_140872,iberian_vessel_fragment,-1.882680601901912,-0.14543722575460688
vfm_133402,iberian_vessel_fragment,-2.56353608651769,-1.8256773780765552
vfm_173942,iberian_vessel_fragment,2.880765160973027,0.5064663354820659
vfm_151431,iberian_vessel_fragment,0.006193163858621807,-0.735796788405359
vfm_161995,iberian_vessel_fragment,-2.1998345291885344,2.038774074370459
vfm_196531,iberian_vessel_fragment,-2.8815744026473142,0.6764735592767822
vfm_062891,iberian_vessel_fragment,0.47062557498451224,1.0201510866492443
vfm_040888,iberian_vessel_fragment,0.31309783361308025,-2.956841739463243
vfm_128474,iberian_vessel_fragment,-0.9945631473719014,1.7053885471662034
vfm_150909,iberian_vessel_fragment,0.4300725704338273,-1.6294298482510159
vfm_176643,iberian_vessel_fragment,-1.8049829758329354,2.0560540517147543
vfm_005767,iberian_vessel_fragment,0.06043332393360955,1.6816561126575564
vfm_078351,iberian_vessel_fragment,-3.7038735852193048,1.9910376347948326
vfm_025790,iberian_vessel_fragment,0.39780799969318686,0.694038492059927
